time,value
1545050124,14.201
1545050140,11.442
1545050152,11.400
1545050164,11.402
1545050176,11.470
1545050189,11.329
1545050201,11.431
1545050214,11.358
1545050226,11.386
1545050238,11.473
1545050251,11.381
1545050263,12.234
1545050276,11.443
1545050289,11.344
1545050301,11.475
1545050313,11.436
1545050325,11.392
1545050338,11.210
1545050350,11.324
1545050362,11.413
1545050374,11.242
1545050386,12.665
1545050400,14.339
1545050415,12.570
1545050429,12.090
1545050442,11.332
1545050454,11.300
1545050466,11.195
1545050478,11.359
1545050491,11.208
1545050503,11.582
1545050515,11.341
1545050528,11.830
1545050540,11.696
1545050553,11.143
1545050565,11.103
1545050577,11.993
1545050590,11.128
1545050602,11.221
1545050614,11.510
1545050626,11.151
1545050639,11.352
1545050651,11.104
1545050663,11.243
1545050675,11.265
1545050687,11.325
1545050699,11.380
1545050712,11.227